,Sex,AgeGroup,Year,State,DeathCount
523,Female,70-74,2001,W.P. Kuala Lumpur,318.0
524,Female,70-74,2001,W.P. Labuan,10.0
525,Female,75-79,2001,Johor,621.0
526,Female,75-79,2001,Kedah,577.0
527,Female,75-79,2001,Kelantan,522.0
528,Female,75-79,2001,Melaka,241.0
529,Female,75-79,2001,Negeri Sembilan,274.0
530,Female,75-79,2001,Pulau Pinang,470.0
531,Female,75-79,2001,Pahang,257.0
532,Female,75-79,2001,Perak,877.0
533,Female,75-79,2001,Perlis,62.0
534,Female,75-79,2001,Sabah,0.0
535,Female,75-79,2001,Sarawak,485.0
536,Female,75-79,2001,Selangor,671.0
537,Female,75-79,2001,Terengganu,285.0
538,Female,75-79,2001,W.P. Kuala Lumpur,287.0
539,Female,75-79,2001,W.P. Labuan,6.0
540,Female,80-84,2001,Johor,609.0
541,Female,80-84,2001,Kedah,516.0
542,Female,80-84,2001,Kelantan,440.0
543,Female,80-84,2001,Melaka,218.0
544,Female,80-84,2001,Negeri Sembilan,222.0
545,Female,80-84,2001,Pulau Pinang,432.0
546,Female,80-84,2001,Pahang,262.0
547,Female,80-84,2001,Perak,706.0
548,Female,80-84,2001,Perlis,93.0
549,Female,80-84,2001,Sabah,0.0
550,Female,80-84,2001,Sarawak,473.0
551,Female,80-84,2001,Selangor,556.0
552,Female,80-84,2001,Terengganu,256.0
553,Female,80-84,2001,W.P. Kuala Lumpur,283.0
554,Female,80-84,2001,W.P. Labuan,3.0
555,Female,85+,2001,Johor,712.0
556,Female,85+,2001,Kedah,419.0
557,Female,85+,2001,Kelantan,319.0
558,Female,85+,2001,Melaka,211.0
559,Female,85+,2001,Negeri Sembilan,272.0
560,Female,85+,2001,Pulau Pinang,493.0
561,Female,85+,2001,Pahang,250.0
562,Female,85+,2001,Perak,862.0
563,Female,85+,2001,Perlis,67.0
564,Female,85+,2001,Sabah,0.0
565,Female,85+,2001,Sarawak,437.0
566,Female,85+,2001,Selangor,608.0
567,Female,85+,2001,Terengganu,185.0
568,Female,85+,2001,W.P. Kuala Lumpur,346.0
569,Female,85+,2001,W.P. Labuan,4.0
570,Male,Below 1,2002,Johor,251.0
571,Male,Below 1,2002,Kedah,144.0
572,Male,Below 1,2002,Kelantan,191.0
573,Male,Below 1,2002,Melaka,67.0
574,Male,Below 1,2002,Negeri Sembilan,74.0
575,Male,Below 1,2002,Pulau Pinang,107.0
576,Male,Below 1,2002,Pahang,135.0
577,Male,Below 1,2002,Perak,170.0
578,Male,Below 1,2002,Perlis,15.0
579,Male,Below 1,2002,Sabah,0.0
580,Male,Below 1,2002,Sarawak,140.0
581,Male,Below 1,2002,Selangor,294.0
582,Male,Below 1,2002,Terengganu,123.0
583,Male,Below 1,2002,W.P. Kuala Lumpur,111.0
584,Male,Below 1,2002,W.P. Labuan,10.0
585,Male,1-4,2002,Johor,75.0
586,Male,1-4,2002,Kedah,47.0
587,Male,1-4,2002,Kelantan,76.0
588,Male,1-4,2002,Melaka,10.0
589,Male,1-4,2002,Negeri Sembilan,20.0
590,Male,1-4,2002,Pulau Pinang,21.0
591,Male,1-4,2002,Pahang,55.0
592,Male,1-4,2002,Perak,77.0
593,Male,1-4,2002,Perlis,4.0
594,Male,1-4,2002,Sabah,0.0
595,Male,1-4,2002,Sarawak,45.0
596,Male,1-4,2002,Selangor,87.0
597,Male,1-4,2002,Terengganu,33.0
598,Male,1-4,2002,W.P. Kuala Lumpur,23.0
599,Male,1-4,2002,W.P. Labuan,0.0
600,Male,5-9,2002,Johor,55.0
601,Male,5-9,2002,Kedah,52.0
602,Male,5-9,2002,Kelantan,49.0
603,Male,5-9,2002,Melaka,16.0
604,Male,5-9,2002,Negeri Sembilan,14.0
605,Male,5-9,2002,Pulau Pinang,23.0
606,Male,5-9,2002,Pahang,35.0
607,Male,5-9,2002,Perak,57.0
608,Male,5-9,2002,Perlis,4.0
609,Male,5-9,2002,Sabah,0.0
610,Male,5-9,2002,Sarawak,38.0
611,Male,5-9,2002,Selangor,56.0
612,Male,5-9,2002,Terengganu,35.0
613,Male,5-9,2002,W.P. Kuala Lumpur,32.0
614,Male,5-9,2002,W.P. Labuan,0.0
