State,Gender,Year,Values
W.P. Labuan,Total,2020,75.4
W.P. Putrajaya,Total,2020,74.5
Malaysia,Male,2020,72.5
Johor,Male,2020,72.1
Kedah,Male,2020,70.4
Kelantan,Male,2020,69.6
Melaka,Male,2020,71.8
Negeri Sembilan,Male,2020,70.4
Pahang,Male,2020,70.7
Perak,Male,2020,71.1
Perlis,Male,2020,70.2
Pulau Pinang,Male,2020,72.0
Sabah,Male,2020,72.6
Sarawak,Male,2020,72.9
Selangor,Male,2020,75.5
Terengganu,Male,2020,69.1
W.P. Kuala Lumpur,Male,2020,74.1
W.P. Labuan,Male,2020,73.6
W.P. Putrajaya,Male,2020,72.2
Malaysia,Female,2020,77.2
Johor,Female,2020,76.9
Kedah,Female,2020,76.1
Kelantan,Female,2020,75.1
Melaka,Female,2020,76.4
Negeri Sembilan,Female,2020,76.4
Pahang,Female,2020,75.7
Perak,Female,2020,76.7
Perlis,Female,2020,75.6
Pulau Pinang,Female,2020,76.7
Sabah,Female,2020,76.4
Sarawak,Female,2020,77.6
Selangor,Female,2020,79.6
Terengganu,Female,2020,74.6
W.P. Kuala Lumpur,Female,2020,79.1
W.P. Labuan,Female,2020,77.3
W.P. Putrajaya,Female,2020,76.7
Malaysia,Total,2021,74.5
Johor,Total,2021,74.0
Kedah,Total,2021,72.8
Kelantan,Total,2021,72.0
Melaka,Total,2021,73.5
Negeri Sembilan,Total,2021,73.5
Pahang,Total,2021,73.0
Perak,Total,2021,73.8
Perlis,Total,2021,72.9
Pulau Pinang,Total,2021,74.1
Sabah,Total,2021,74.0
Sarawak,Total,2021,74.8
Selangor,Total,2021,77.0
Terengganu,Total,2021,71.8
W.P. Kuala Lumpur,Total,2021,75.7
W.P. Labuan,Total,2021,74.8
W.P. Putrajaya,Total,2021,74.9
Malaysia,Male,2021,72.3
Johor,Male,2021,71.9
Kedah,Male,2021,70.2
Kelantan,Male,2021,69.5
Melaka,Male,2021,71.3
Negeri Sembilan,Male,2021,71.1
Pahang,Male,2021,70.8
Perak,Male,2021,71.1
Perlis,Male,2021,70.2
Pulau Pinang,Male,2021,71.9
Sabah,Male,2021,72.3
Sarawak,Male,2021,72.6
Selangor,Male,2021,75.1
Terengganu,Male,2021,69.5
W.P. Kuala Lumpur,Male,2021,73.5
W.P. Labuan,Male,2021,73.2
W.P. Putrajaya,Male,2021,72.3
Malaysia,Female,2021,77.0
Johor,Female,2021,76.6
Kedah,Female,2021,75.6
Kelantan,Female,2021,74.8
Melaka,Female,2021,76.0
Negeri Sembilan,Female,2021,76.2
Pahang,Female,2021,75.8
Perak,Female,2021,76.8
Perlis,Female,2021,75.8
Pulau Pinang,Female,2021,76.7
Sabah,Female,2021,76.0
Sarawak,Female,2021,77.5
Selangor,Female,2021,79.2
Terengganu,Female,2021,74.5
W.P. Kuala Lumpur,Female,2021,78.3
W.P. Labuan,Female,2021,76.6
W.P. Putrajaya,Female,2021,77.4
Malaysia,Total,2022,73.4
Johor,Total,2022,73.1
Kedah,Total,2022,70.9
Kelantan,Total,2022,71.0
Melaka,Total,2022,72.5
Negeri Sembilan,Total,2022,72.4
Pahang,Total,2022,72.4
Perak,Total,2022,73.1
Perlis,Total,2022,72.3
Pulau Pinang,Total,2022,73.2
Sabah,Total,2022,73.5
Sarawak,Total,2022,74.3
Selangor,Total,2022,75.2
Terengganu,Total,2022,71.0
W.P. Kuala Lumpur,Total,2022,74.0
W.P. Labuan,Total,2022,74.5
W.P. Putrajaya,Total,2022,74.5
Malaysia,Male,2022,71.3
Johor,Male,2022,71.2
Kedah,Male,2022,68.6
Kelantan,Male,2022,68.7
Melaka,Male,2022,70.2
Negeri Sembilan,Male,2022,70.2
Pahang,Male,2022,70.2
Perak,Male,2022,70.3
Perlis,Male,2022,69.4
Pulau Pinang,Male,2022,70.9
Sabah,Male,2022,72.0
